rank,bgg_url,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,designer,weight
1,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,161936,Pandemic Legacy: Season 1,2,4,60,60,60,2015,8.66801,8.48529,17158,//cf.geekdo-images.com/images/pic2452831.png,13,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",28156,"Environmental, Medical","Rob Daviau, Matt Leacock",2.8023
2,https://boardgamegeek.com/boardgame/182028/through-ages-new-story-civilization,182028,Through the Ages: A New Story of Civilization,2,4,240,180,240,2015,8.74362,8.30836,6835,//cf.geekdo-images.com/images/pic2663291.jpg,14,"Action Point Allowance System, Auction/Bidding, Card Drafting, Hand Management",9269,"Card Game, Civilization, Economic",Vlaada Chvátil,4.3073
3,https://boardgamegeek.com/boardgame/12333/twilight-struggle,12333,Twilight Struggle,2,2,180,180,180,2005,8.35828,8.22111,26972,//cf.geekdo-images.com/images/pic361592.jpg,13,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simultaneous Action Selection",36707,"Modern Warfare, Political, Wargame","Ananda Gupta, Jason Matthews",3.5293
4,https://boardgamegeek.com/boardgame/120677/terra-mystica,120677,Terra Mystica,2,5,150,60,150,2012,8.29196,8.14967,23588,//cf.geekdo-images.com/images/pic1356616.jpg,12,"Route/Network Building, Variable Phase Order, Variable Player Powers",27265,"Civilization, Economic, Fantasy, Territory Building","Jens Drögemüller, Helge Ostertag",3.9381
5,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,187645,Star Wars: Rebellion,2,4,240,180,240,2016,8.54711,8.145,8093,//cf.geekdo-images.com/images/pic2737530.png,14,"Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management",13485,"Dice, Fighting, Movies / TV / Radio theme, Science Fiction, Wargame",Corey Konieczka,3.5685
6,https://boardgamegeek.com/boardgame/174430/gloomhaven,174430,Gloomhaven,1,4,150,90,150,2017,9.14657,8.1015,3412,//cf.geekdo-images.com/images/pic2437871.jpg,12,"Action / Movement Programming, Campaign / Battle Card Driven, Co-operative Play, Grid Movement, Hand Management, Modular Board, Simultaneous Action Selection, Storytelling, Variable Player Powers",5095,"Adventure, Economic, Exploration, Fantasy, Fighting, Miniatures",Isaac Childres,3.7
7,https://boardgamegeek.com/boardgame/169786/scythe,169786,Scythe,1,5,115,90,115,2016,8.33592,8.08457,14648,//cf.geekdo-images.com/images/pic3163924.jpg,14,"Area Control / Area Influence, Grid Movement, Variable Player Powers",19459,"Civilization, Economic, Fighting, Science Fiction, Territory Building",Jamey Stegmaier,3.3156
8,https://boardgamegeek.com/boardgame/173346/7-wonders-duel,173346,7 Wonders Duel,2,2,30,30,30,2015,8.1964,8.02752,19937,//cf.geekdo-images.com/images/pic3376065.jpg,10,"Card Drafting, Set Collection",31588,"Ancient, Card Game, City Building, Civilization","Antoine Bauza, Bruno Cathala",2.2474
9,https://boardgamegeek.com/boardgame/102794/caverna-cave-farmers,102794,Caverna: The Cave Farmers,1,7,210,30,210,2013,8.18344,8.01169,16737,//cf.geekdo-images.com/images/pic1790789.jpg,12,"Tile Placement, Worker Placement",21178,"Animals, Economic, Fantasy, Farming",Uwe Rosenberg,3.79
10,https://boardgamegeek.com/boardgame/167791/terraforming-mars,167791,Terraforming Mars,1,5,120,90,120,2016,8.38277,8.00889,7915,//cf.geekdo-images.com/images/pic2891964.jpg,12,"Card Drafting, Hand Management, Tile Placement, Variable Player Powers",9307,"Economic, Environmental, Industry / Manufacturing, Science Fiction, Territory Building",Jacob Fryxelius,3.2372
11,https://boardgamegeek.com/boardgame/84876/castles-burgundy,84876,The Castles of Burgundy,2,4,90,30,90,2011,8.11254,7.99542,24788,//cf.geekdo-images.com/images/pic1176894.jpg,12,"Dice Rolling, Set Collection, Tile Placement, Variable Phase Order",34212,"Dice, Medieval, Territory Building",Stefan Feld,3.0383
12,https://boardgamegeek.com/boardgame/3076/puerto-rico,3076,Puerto Rico,2,5,150,90,,2002,8.0919,7.98602,47748,//cf.geekdo-images.com/images/pic158548.jpg,12,Variable Phase Order,54320,"City Building, Economic, Farming",Andreas Seyfarth,3.2945
13,https://boardgamegeek.com/boardgame/31260/agricola,31260,Agricola,1,5,150,30,,2007,8.05651,7.96546,48193,//cf.geekdo-images.com/images/pic259085.jpg,12,"Card Drafting, Hand Management, Variable Player Powers, Worker Placement",57918,"Animals, Economic, Farming",Uwe Rosenberg,3.6313
14,https://boardgamegeek.com/boardgame/115746/war-ring-second-edition,115746,War of the Ring (Second Edition),2,4,180,150,,2012,8.38725,7.96414,6292,//cf.geekdo-images.com/images/pic1215633.jpg,13,"Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management",10162,"Adventure, Dice, Fantasy, Miniatures, Novel-based, Territory Building","Roberto Di Meglio, Marco Maggi, Francesco Nepitello",3.9949
15,https://boardgamegeek.com/boardgame/96848/mage-knight-board-game,96848,Mage Knight Board Game,1,4,150,150,,2011,8.13816,7.94024,18117,//cf.geekdo-images.com/images/pic1083380.jpg,14,"Card Drafting, Co-operative Play, Deck / Pool Building, Dice Rolling, Grid Movement, Hand Management, Modular Board, Role Playing, Tile Placement, Variable Player Powers",27010,"Adventure, Exploration, Fantasy, Fighting",Vlaada Chvátil,4.2048
16,https://boardgamegeek.com/boardgame/25613/through-ages-story-civilization,25613,Through the Ages: A Story of Civilization,2,4,240,240,,2006,8.09173,7.92985,15327,//cf.geekdo-images.com/images/pic236169.jpg,12,"Action Point Allowance System, Auction/Bidding, Card Drafting, Hand Management",15810,"City Building, Civilization, Economic",Vlaada Chvátil,4.1702
17,https://boardgamegeek.com/boardgame/170216/blood-rage,170216,Blood Rage,2,4,90,60,,2015,8.15956,7.92589,13237,//cf.geekdo-images.com/images/pic2439223.jpg,14,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",17658,"Fantasy, Fighting, Miniatures, Mythology",Eric M. Lang,2.9022
18,https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault,164153,Star Wars: Imperial Assault,2,5,120,60,,2014,8.20568,7.89919,10980,//cf.geekdo-images.com/images/pic2247647.jpg,14,"Dice Rolling, Grid Movement, Modular Board, Partnerships, Role Playing, Variable Player Powers",19379,"Adventure, Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame","Justin Kemppainen, Corey Konieczka, Jonathan Ying",3.2673
19,https://boardgamegeek.com/boardgame/2651/power-grid,2651,Power Grid,2,6,120,120,,2004,7.94588,7.86687,41993,//cf.geekdo-images.com/images/pic173153.jpg,12,"Auction/Bidding, Route/Network Building",47914,"Economic, Industry / Manufacturing",Friedemann Friese,3.2866
20,https://boardgamegeek.com/boardgame/72125/eclipse,72125,Eclipse,2,6,200,60,,2011,8.01466,7.86024,20258,//cf.geekdo-images.com/images/pic1974056.jpg,14,"Area Control / Area Influence, Dice Rolling, Grid Movement, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",22274,"Civilization, Fighting, Science Fiction, Space Exploration, Wargame",Touko Tahkokallio,3.6788
